record number,reference number,literature type,reference,one sentence summary,score,country,region1,region2,site,habitat,habitat1,habitat2,habitat3,habitat4,lon (decimal degrees),lat (decimal degrees),start year,end year,number of sites / study plots,site description,site detail,number of subsites,subsite detail,type of study,species,assemblage,agri-environment,basic agri-environment,targeted agri-environment (wader-specific or higher level),site protection - nature reserve,site protection - designation,mowing,grazing,fertilizer,herbicides / pesticides,nest protection - agricultural activities,nest protection - predation (enclosures or exclosures),ground water management (drainage inhibited),wet features / surface water management,openness of landscape,predator control,other mgmt,other management type (provide description),management notes,overall metric,standardized metric,standardisation calculation,specific metric,specific metric details,reference metric before management,metric after management,log(effect size),effect size (where reported),stand. reference metric before management,stand. metric after management,stand. effect size,unit of analysis,unit of analysis detail,sample size,analysis type 1,analysis type 2,analysis type details,significant effect (Y/N /U),direction of effect (positive / negative / none),values obtained from plot?,values in plots not extracted,related records,comments
3,21,primary,"Davey, C. M. et al. 2010. Assessing the impact of Entry Level Stewardship on lowland farmland birds in England. - Ibis 152: 459–474.",Lapwing abundance was negatively influenced by the amount of agri-environment management effort (proxy=compensation value) in a 1km square in pastoral habitats; lapwing decreased by 0.1 for every £400 pound spent on AE,medium,United Kingdom,England,,,mixed arable/pastoral,farmland,arable,,,,,2005,2008,2046,1km squares,small (0-10 kmsq),,,correlative,lapwing,Y,applied site scale,,,,,,,,,,,,,,,,,,abundance,,,breeding density (birds/km^2),,,,,,,,,field/plot/site,,large (100-1000),frequentist,multivariate,GLM,N,negative,,,,negative association with management compensation value (amount spent on AE management) in pastoral squares
1,22,primary,"Douglas, D. J. T. et al. 2014. Upland land use predicts population decline in a globally near-threatened wader. - Journal of Applied Ecology 51: 194–203.",Curlew population change between 1999/2000 and 2009/2010 and the number of pairs with chicks were more positive with increasing gamekeeper densities,medium,United Kingdom,England and Scotland,South Pennines and South Scotland,,unenclosed,upland,"moorland, upland grassland",,,,,1999,2010,72,study sites,small (0-10 kmsq),,,correlative,curlew,N,,,,,,,,,,,,,,,applied site scale,, ,,abundance change,,,log ratio population change,,-0.65,0.25,#NUM!,1.38,,,,field/plot/site,,medium (30-100),frequentist,multivariate,multivariate regression,Y,positive,Y,,,"effect of change in gamekeeper density derived from plot over range of density values, based on mean regression line"
2,22,primary,"Douglas, D. J. T. et al. 2014. Upland land use predicts population decline in a globally near-threatened wader. - Journal of Applied Ecology 51: 194–203.",Curlew population change between 1999/2000 and 2009/2010 and the number of pairs with chicks were more positive with increasing gamekeeper densities,medium,United Kingdom,England and Scotland,South Pennines and South Scotland,,unenclosed,upland,"moorland, upland grassland",,,,,1999,2010,72,study sites,small (0-10 kmsq),,,correlative,curlew,N,,,,,,,,,,,,,,,applied site scale,,,,productivity (nest level),,,percentage of adults with young,,0.28,0.53,0.278020162,0.89,,,,field/plot/site,,medium (30-100),frequentist,multivariate,GLM,Y,positive,Y,,,"effect of change in gamekeeper density derived from plot over range of density values, based on mean regression line"
1,23,primary,"Durant, D. et al. 2008. Field occupancy by breeding lapwings Vanellus vanellus and redshanks Tringa totanus in agricultural wet grasslands. - Agriculture Ecosystems & Environment 128: 146–150.","Lapwing field occupany positively influenced by autumn and early spring grazing, negatively influenced by fertilization; redshank occupancy positively related to mid-spring grazing intensity",poor,France,French Atlantic coast,Marais-Poitevin,Angles-Longeville marsh,pastoral,natural/semi-natural grassland,lowland wet grassland,,,,,2004,2004,252,fields,medium (10-100 kmsq),,,correlative,lapwing,Y,,,,,,,,applied site scale,,,,,,,,,,,occupancy,,,presence/absence,,,,,,,,,field/plot/site,,medium (30-100),frequentist,multivariate,GLMM,Y,negative,,,,Statistics given in text only; assume that variables not mentioned expressly are not significant
2,23,primary,"Durant, D. et al. 2008. Field occupancy by breeding lapwings Vanellus vanellus and redshanks Tringa totanus in agricultural wet grasslands. - Agriculture Ecosystems & Environment 128: 146–150.","Lapwing field occupany positively influenced by autumn and early spring grazing, negatively influenced by fertilization; redshank occupancy positively related to mid-spring grazing intensity",poor,France,French Atlantic coast,Marais-Poitevin,Angles-Longeville marsh,pastoral,natural/semi-natural grassland,lowland wet grassland,,,,,2004,2004,252,fields,medium (10-100 kmsq),,,correlative,lapwing,Y,,,,,,,applied site scale,,,,,,,,,,,autumn and early spring cattle grazing,occupancy,,,presence/absence,,,,,,,,,field/plot/site,,medium (30-100),frequentist,multivariate,GLMM,Y,positive,,,,Statistics given in text only; assume that variables not mentioned expressly are not significant
3,23,primary,"Durant, D. et al. 2008. Field occupancy by breeding lapwings Vanellus vanellus and redshanks Tringa totanus in agricultural wet grasslands. - Agriculture Ecosystems & Environment 128: 146–150.","Lapwing field occupany positively influenced by autumn and early spring grazing, negatively influenced by fertilization; redshank occupancy positively related to mid-spring grazing intensity",poor,France,French Atlantic coast,Marais-Poitevin,Angles-Longeville marsh,pastoral,natural/semi-natural grassland,lowland wet grassland,,,,,2004,2004,252,fields,medium (10-100 kmsq),,,correlative,redshank,Y,,,,,,,applied site scale,,,,,,,,,,,mid-spring cattle grazing,occupancy,,,presence/absence,,,,,,,,,field/plot/site,,medium (30-100),frequentist,multivariate,GLMM,Y,positive,,,,Statistics given in text only; assume that variables not mentioned expressly are not significant
4,23,primary,"Durant, D. et al. 2008. Field occupancy by breeding lapwings Vanellus vanellus and redshanks Tringa totanus in agricultural wet grasslands. - Agriculture Ecosystems & Environment 128: 146–150.","Lapwing field occupany positively influenced by autumn and early spring grazing, negatively influenced by fertilization; redshank occupancy positively related to mid-spring grazing intensity",poor,France,French Atlantic coast,Marais-Poitevin,Angles-Longeville marsh,pastoral,natural/semi-natural grassland,lowland wet grassland,,,,,2004,2004,252,fields,medium (10-100 kmsq),,,correlative,redshank,Y,,,,,,,,applied site scale,,,,,,,,,,,occupancy,,,presence/absence,,,,,,,,,field/plot/site,,medium (30-100),frequentist,multivariate,GLMM,N,none,,,,Statistics given in text only; assume that variables not mentioned expressly are not significant
1,24,primary,"Eglington, S. M. et al. 2008. Restoration of wet features for breeding waders on lowland grassland. - Journal of Applied Ecology 45: 305–314.","Fields with high footdrain flood densities attracted higher densities of breeding lapwing; later in season when footdrains were only remaining water source, higher chick density on fields with higher footdrain density",good,United Kingdom,Norfolk,,Broads Environmentally Sensitive Area,pastoral,natural/semi-natural grassland,lowland wet grassland,,,1.6,52.6,2005,2006,9,study sites,,70,fields,correlative,lapwing,Y,,,,,,,,,,,,,applied site scale,,,,,footdrain flood density,occupancy,,,presence/absence,,,,,,,,,field/plot/site,,medium (30-100),frequentist,multivariate,GLM,Y,positive,,,,effects need to be read off graph
2,24,primary,"Eglington, S. M. et al. 2008. Restoration of wet features for breeding waders on lowland grassland. - Journal of Applied Ecology 45: 305–314.","Fields with high footdrain flood densities attracted higher densities of breeding lapwing; later in season when footdrains were only remaining water source, higher chick density on fields with higher footdrain density",good,United Kingdom,Norfolk,,Broads Environmentally Sensitive Area,pastoral,natural/semi-natural grassland,lowland wet grassland,,,1.6,52.6,2005,2006,9,study sites,,70,fields,correlative,lapwing,Y,,,,,,,,,,,,,applied site scale,,,,,footdrain density,occupancy,,,presence/absence,,,,,,,,,field/plot/site,,medium (30-100),frequentist,multivariate,GLM,N,none,,,,effects need to be read off graph
3,24,primary,"Eglington, S. M. et al. 2008. Restoration of wet features for breeding waders on lowland grassland. - Journal of Applied Ecology 45: 305–314.","Fields with high footdrain flood densities attracted higher densities of breeding lapwing; later in season when footdrains were only remaining water source, higher chick density on fields with higher footdrain density",good,United Kingdom,Norfolk,,Broads Environmentally Sensitive Area,pastoral,natural/semi-natural grassland,lowland wet grassland,,,1.6,52.6,2005,2006,9,study sites,,70,fields,correlative,lapwing,Y,,,,,,,,,,,,,applied site scale,,,,,pool density,occupancy,,,presence/absence,,,,,,,,,field/plot/site,,medium (30-100),frequentist,multivariate,GLM,N,none,,,,effects need to be read off graph
4,24,primary,"Eglington, S. M. et al. 2008. Restoration of wet features for breeding waders on lowland grassland. - Journal of Applied Ecology 45: 305–314.","Fields with high footdrain flood densities attracted higher densities of breeding lapwing; later in season when footdrains were only remaining water source, higher chick density on fields with higher footdrain density",good,United Kingdom,Norfolk,,Broads Environmentally Sensitive Area,pastoral,natural/semi-natural grassland,lowland wet grassland,,,1.6,52.6,2005,2006,9,study sites,,70,fields,correlative,lapwing,Y,,,,,,,,,,,,,applied site scale,,,,,footdrain flood density,abundance,,,breeding density (pairs/ha),,,,,,,,,field/plot/site,,medium (30-100),frequentist,multivariate,GLM,Y,positive,,,,effects need to be read off graph
5,24,primary,"Eglington, S. M. et al. 2008. Restoration of wet features for breeding waders on lowland grassland. - Journal of Applied Ecology 45: 305–314.","Fields with high footdrain flood densities attracted higher densities of breeding lapwing; later in season when footdrains were only remaining water source, higher chick density on fields with higher footdrain density",good,United Kingdom,Norfolk,,Broads Environmentally Sensitive Area,pastoral,natural/semi-natural grassland,lowland wet grassland,,,1.6,52.6,2005,2006,9,study sites,,70,fields,correlative,lapwing,Y,,,,,,,,,,,,,applied site scale,,,,,footdrain density,abundance,,,breeding density (pairs/ha),,,,,,,,,field/plot/site,,medium (30-100),frequentist,multivariate,GLM,N,none,,,,effects need to be read off graph
6,24,primary,"Eglington, S. M. et al. 2008. Restoration of wet features for breeding waders on lowland grassland. - Journal of Applied Ecology 45: 305–314.","Fields with high footdrain flood densities attracted higher densities of breeding lapwing; later in season when footdrains were only remaining water source, higher chick density on fields with higher footdrain density",good,United Kingdom,Norfolk,,Broads Environmentally Sensitive Area,pastoral,natural/semi-natural grassland,lowland wet grassland,,,1.6,52.6,2005,2006,9,study sites,,70,fields,correlative,lapwing,Y,,,,,,,,,,,,,applied site scale,,,,,pool density,abundance,,,breeding density (pairs/ha),,,,,,,,,field/plot/site,,medium (30-100),frequentist,multivariate,GLM,N,none,,,,effects need to be read off graph
7,24,primary,"Eglington, S. M. et al. 2008. Restoration of wet features for breeding waders on lowland grassland. - Journal of Applied Ecology 45: 305–314.","Fields with high footdrain flood densities attracted higher densities of breeding lapwing; later in season when footdrains were only remaining water source, higher chick density on fields with higher footdrain density",good,United Kingdom,Norfolk,,Broads Environmentally Sensitive Area,pastoral,natural/semi-natural grassland,lowland wet grassland,,,1.6,52.6,2005,2006,9,study sites,,70,fields,correlative,lapwing,Y,,,,,,,,,,,,,applied site scale,,,,,footdrain flood density,productivity (chick level),,,chick density,brood days/day,,,,,,,,field/plot/site,,medium (30-100),frequentist,multivariate,GLM,N,none,,,,effects need to be read off graph
8,24,primary,"Eglington, S. M. et al. 2008. Restoration of wet features for breeding waders on lowland grassland. - Journal of Applied Ecology 45: 305–314.","Fields with high footdrain flood densities attracted higher densities of breeding lapwing; later in season when footdrains were only remaining water source, higher chick density on fields with higher footdrain density",good,United Kingdom,Norfolk,,Broads Environmentally Sensitive Area,pastoral,natural/semi-natural grassland,lowland wet grassland,,,1.6,52.6,2005,2006,9,study sites,,70,fields,correlative,lapwing,Y,,,,,,,,,,,,,applied site scale,,,,,footdrain density,productivity (chick level),,,chick density,brood days/day,,,,,,,,field/plot/site,,medium (30-100),frequentist,multivariate,GLM,Y,positive,,,,effects need to be read off graph
9,24,primary,"Eglington, S. M. et al. 2008. Restoration of wet features for breeding waders on lowland grassland. - Journal of Applied Ecology 45: 305–314.","Fields with high footdrain flood densities attracted higher densities of breeding lapwing; later in season when footdrains were only remaining water source, higher chick density on fields with higher footdrain density",good,United Kingdom,Norfolk,,Broads Environmentally Sensitive Area,pastoral,natural/semi-natural grassland,lowland wet grassland,,,1.6,52.6,2005,2006,9,study sites,,70,fields,correlative,lapwing,Y,,,,,,,,,,,,,applied site scale,,,,,pool density,productivity (chick level),,,chick density,brood days/day,,,,,,,,field/plot/site,,medium (30-100),frequentist,multivariate,GLM,N,none,,,,effects need to be read off graph
1,25,primary,"Fletcher, K., Aebischer, N.J., Baines, D., Foster, R. & Hoodless, A.N. (2010) Changes in breeding success and abundance of ground-nesting moorland birds in relation to the experimental deployment of legal predator control. Journal of Applied Ecology, 47, 263–272.","8-year experimental predator (fox, crow, mustelid) control reduced fox and crow abundance led to increased breeding success  and positive population change in lapwing and curlew",good,United Kingdom,England,Northumberland,4 plots,pastoral,upland,"moorland, upland grassland",,,,,2000,2008,4,study plots,medium (10-100 kmsq),,,experimental,lapwing,Y,,,,,,,,,,,,,,,applied site scale,,,,productivity (nest + chick),proportion pairs with chicks,percentage to proportion,percentage of pairs with fledged young,,19,57,1.081370482,2.00,0.19,0.57,2.00,field/plot/site,,small (< 30),frequentist,multivariate,GLM,Y,positive,,,,comparison between PC and non-PC (reference) plots
2,25,primary,"Fletcher, K., Aebischer, N.J., Baines, D., Foster, R. & Hoodless, A.N. (2010) Changes in breeding success and abundance of ground-nesting moorland birds in relation to the experimental deployment of legal predator control. Journal of Applied Ecology, 47, 263–272.","8-year experimental predator (fox, crow, mustelid) control reduced fox and crow abundance led to increased breeding success  and positive population change in lapwing and curlew",good,United Kingdom,England,Northumberland,4 plots,unenclosed,upland,"moorland, upland grassland",,,,,2000,2008,4,study plots,medium (10-100 kmsq),,,experimental,curlew,Y,,,,,,,,,,,,,,,applied site scale,,,,productivity (nest + chick),proportion pairs with chicks,percentage to proportion,percentage of pairs with fledged young,,15,51,1.200741784,2.40,0.15,0.51,2.40,field/plot/site,,small (< 30),frequentist,multivariate,GLM,Y,positive,,,,comparison between PC and non-PC (reference) plots
3,25,primary,"Fletcher, K., Aebischer, N.J., Baines, D., Foster, R. & Hoodless, A.N. (2010) Changes in breeding success and abundance of ground-nesting moorland birds in relation to the experimental deployment of legal predator control. Journal of Applied Ecology, 47, 263–272.","8-year experimental predator (fox, crow, mustelid) control reduced fox and crow abundance led to increased breeding success  and positive population change in lapwing and curlew",good,United Kingdom,England,Northumberland,4 plots,unenclosed,upland,"moorland, upland grassland",,,,,2000,2008,4,study plots,medium (10-100 kmsq),,,experimental,lapwing,Y,,,,,,,,,,,,,,,applied site scale,,,,abundance change,,percentage to proportion,"additive trend per year, percent change in density",,-36,66,#NUM!,2.83,0.64,1.66,1.59,field/plot/site,,small (< 30),frequentist,multivariate,GLM,Y,positive,,,,"includes effect of PC in current year as well as in previous years (lag effect) to include effects on productivity; lag = 1 year for lapwing, snipe; lag = 3 years for curlew; significant effect is for LAGGED EFFECT ONLY"
4,25,primary,"Fletcher, K., Aebischer, N.J., Baines, D., Foster, R. & Hoodless, A.N. (2010) Changes in breeding success and abundance of ground-nesting moorland birds in relation to the experimental deployment of legal predator control. Journal of Applied Ecology, 47, 263–272.","8-year experimental predator (fox, crow, mustelid) control reduced fox and crow abundance led to increased breeding success  and positive population change in lapwing and curlew",good,United Kingdom,England,Northumberland,4 plots,unenclosed,upland,"moorland, upland grassland",,,,,2000,2008,4,study plots,medium (10-100 kmsq),,,experimental,curlew,Y,,,,,,,,,,,,,,,applied site scale,,,,abundance change,,percentage to proportion,"additive trend per year, percent change in density",,-17,14,#NUM!,1.82,0.83,1.14,0.37,field/plot/site,,small (< 30),frequentist,multivariate,GLM,Y,positive,,,,"includes effect of PC in current year as well as in previous years (lag effect) to include effects on productivity; lag = 1 year for lapwing, snipe; lag = 3 years for curlew; significant effect is for LAGGED EFFECT ONLY"
5,25,primary,"Fletcher, K., Aebischer, N.J., Baines, D., Foster, R. & Hoodless, A.N. (2010) Changes in breeding success and abundance of ground-nesting moorland birds in relation to the experimental deployment of legal predator control. Journal of Applied Ecology, 47, 263–272.","8-year experimental predator (fox, crow, mustelid) control reduced fox and crow abundance led to increased breeding success  and positive population change in lapwing and curlew",good,United Kingdom,England,Northumberland,4 plots,unenclosed,upland,"moorland, upland grassland",,,,,2000,2008,4,study plots,medium (10-100 kmsq),,,experimental,snipe,Y,,,,,,,,,,,,,,,applied site scale,,,,abundance change,,percentage to proportion,"additive trend per year, percent change in density",,3,2,-0.336472237,-0.33,1.03,1.02,-0.01,field/plot/site,,small (< 30),frequentist,multivariate,GLM,N,none,,,,"includes effect of PC in current year as well as in previous years (lag effect) to include effects on productivity; lag = 1 year for lapwing, snipe; lag = 3 years for curlew; significant effect is for LAGGED EFFECT ONLY"
1,26,primary,"Groen, N.M., Kentie, R., de Goeij, P., Verheijen, B., Hooijmeijer, J.C.E.W. & Piersma, T. (2012) A modern landscape ecology of Black-tailed Godwits: habitat selection in southwest Friesland, The Netherlands. Ardea, 100, 19–28.","Black-tailed godwit density positively related to herb-richness, high groundwater level and footdrain presence (comprising 1st principal component of analysis)",medium,Netherlands,Friesland,,,mixed arable/pastoral,natural/semi-natural grassland,lowland wet grassland,,,,,2009,2009,43,polders,small (0-10 kmsq),,,correlative,black-tailed godwit,N,,,,,,,,,,,,restricted site scale,applied site scale,,,,,,abundance,,,breeding density (log(number + 1)/100 ha),,,,,,,,,field/plot/site,,medium (30-100),frequentist,univariate,linear regression,Y,positive,,,,"positive relationship with PC1, which represents herb-rich polders with high groundwater levels and presence of foot drains; combined effect and no specific management can be derived for 'herb-richness'"
1,27,primary,"Hart, J.D., Milsom, T.P., Baxter, A., Kelly, P.F. & Parkin, W.K. (2002) The impact of livestock on Lapwing Vanellus vanellus breeding densities and performance on coastal grazing marsh. Bird Study, 49, 67–78.","Weak evidence that nesting densities of lapwing are lower on grazed vs ungrazed marshes; suggestion that nest and chick survival is higher on ungrazed marshes (non-significant); disturbance frequency of incubating birds was higher on grazing marshes, which correlated with lower nest survival",good,United Kingdom,England,Kent,Elmley Marshes,pastoral,natural/semi-natural grassland,lowland wet grassland,,,0.8,51.4,1995,1997,79,marshes,small (0-10 kmsq),,,experimental,lapwing,N,,,,,,,removed site scale,,,,,,,,,,,,productivity (nest level),nest survival (Mayfield),percentage to proportion,nest survival,Mayfield,33.8,63.6,0.62529901,0.88,0.34,0.64,0.88,field/plot/site,,small (< 30),frequentist,univariate,t-test,N,positive,,,,nest survival on ungrazed marshes relative to reference level of grazed; marginally significant at p = 0.057
2,27,primary,"Hart, J.D., Milsom, T.P., Baxter, A., Kelly, P.F. & Parkin, W.K. (2002) The impact of livestock on Lapwing Vanellus vanellus breeding densities and performance on coastal grazing marsh. Bird Study, 49, 67–78.","Weak evidence that nesting densities of lapwing are lower on grazed vs ungrazed marshes; suggestion that nest and chick survival is higher on ungrazed marshes (non-significant); disturbance frequency of incubating birds was higher on grazing marshes, which correlated with lower nest survival",good,United Kingdom,England,Kent,Elmley Marshes,pastoral,natural/semi-natural grassland,lowland wet grassland,,,0.8,51.4,1995,1997,79,marshes,small (0-10 kmsq),,,experimental,lapwing,N,,,,,,,removed site scale,,,,,,,,,,,,productivity (chick level),chick survival,percentage to proportion,chick survival,,15.1,33.3,0.773189888,1.21,0.15,0.33,1.21,field/plot/site,,small (< 30),frequentist,univariate,t-test,N,positive,,,,"survival to 10 days old, non-significant difference between grazed and ungrazed marshes"
3,27,primary,"Hart, J.D., Milsom, T.P., Baxter, A., Kelly, P.F. & Parkin, W.K. (2002) The impact of livestock on Lapwing Vanellus vanellus breeding densities and performance on coastal grazing marsh. Bird Study, 49, 67–78.","Weak evidence that nesting densities of lapwing are lower on grazed vs ungrazed marshes; suggestion that nest and chick survival is higher on ungrazed marshes (non-significant); disturbance frequency of incubating birds was higher on grazing marshes, which correlated with lower nest survival",good,United Kingdom,England,Kent,Elmley Marshes,pastoral,natural/semi-natural grassland,lowland wet grassland,,,0.8,51.4,1995,1997,79,marshes,small (0-10 kmsq),,,experimental,lapwing,N,,,,,,,removed site scale,,,,,,,,,,,,abundance,,,breeding density (birds/ha),"probably birds/ha, but never explicitly stated",,,,,,,,field/plot/site,,medium (30-100),frequentist,multivariate,multiple regression,Y,positive,,,,"low R^2 values, variable included in model not good predictors of lapwing settling densities; weak negative effect of grazing in 1995 and 1997 only"
1,28,primary,"Henderson, I.G., Holland, J.M., Storkey, J., Lutman, P., Orson, J. & Simper, J. (2012) Effects of the proportion and spatial arrangement of un-cropped land on breeding bird abundance in arable rotations. Journal of Applied Ecology, 49, 883–891.",Positive effect of percent area of fallow land on lapwing density as well as positive effect of organically managed farming,medium,United Kingdom,England,eastern and southern England,,arable,farmland,arable,,,,,2006,2010,28,farms,small (0-10 kmsq),,,experimental,lapwing,Y,,,,,,,,,removed site scale,,,,,,,fallow/set-aside,fallow (tillage reduced),,abundance,,,breeding density (birds/ha),,,,,,,,,field/plot/site,,small (< 30),frequentist,multivariate,GLMM,Y,positive,,,,model includes effect of % area of fallow land and presence of organic farming
1,29,primary,"Isaksson, D. et al. 2007. Managing predation on ground-nesting birds: The effectiveness of nest exclosures. - Biological Conservation 136: 136–142.","Hatching success higher in protected vs unprotected nests (exclosures), even taking into account incubation time, nest abandonment, hatchability and partial clutch loss",good,Sweden,,,"Ölmevalla, Båtafjorden, Fyrstrandsfjorden",pastoral,natural/semi-natural grassland,,,,12.1,57.4,2002,2004,3,pastures,,,,experimental,lapwing,N,,,,,,,,,,,applied site scale,,,,,,,nest exclosures,productivity (nest level),nest survival (Mayfield),calculated using 28 days incubation + 5 days laying,daily survival rate,,0.966,0.989,0.01556715,0.02,0.32,0.69,1.17,individual,nests,large (100-1000),frequentist,univariate,Z-test,Y,positive,,,,higher daily nest survival rate in protected nests
2,29,primary,"Isaksson, D. et al. 2007. Managing predation on ground-nesting birds: The effectiveness of nest exclosures. - Biological Conservation 136: 136–142.","Hatching success higher in protected vs unprotected nests (exclosures), even taking into account incubation time, nest abandonment, hatchability and partial clutch loss",good,Sweden,,,"Ölmevalla, Båtafjorden, Fyrstrandsfjorden",pastoral,natural/semi-natural grassland,,,,12.1,57.4,2002,2004,3,pastures,,,,experimental,redshank,N,,,,,,,,,,,applied site scale,,,,,,,nest exclosures,productivity (nest level),nest survival (Mayfield),calculated using 24 days incubation + 5 days laying,daily survival rate,,0.964,0.997,0.02229069,0.03,0.35,0.92,1.65,individual,nests,medium (30-100),frequentist,univariate,Z-test,Y,positive,,,,higher daily nest survival rate in protected nests
3,29,primary,"Isaksson, D. et al. 2007. Managing predation on ground-nesting birds: The effectiveness of nest exclosures. - Biological Conservation 136: 136–142.","Hatching success higher in protected vs unprotected nests (exclosures), even taking into account incubation time, nest abandonment, hatchability and partial clutch loss",good,Sweden,,,"Ölmevalla, Båtafjorden, Fyrstrandsfjorden",pastoral,natural/semi-natural grassland,,,,12.1,57.4,2002,2004,3,pastures,,,,experimental,lapwing,N,,,,,,,,,,,applied site scale,,,,,,,nest exclosures,survival,,,number of adults depredated per total number of incubating birds,,0,0,0,#DIV/0!,,,,individual,birds,large (100-1000),frequentist,univariate,Fisher's exact test,N,none,,,,no difference in adult survival between protected vs unprotected lapwing nests
4,29,primary,"Isaksson, D. et al. 2007. Managing predation on ground-nesting birds: The effectiveness of nest exclosures. - Biological Conservation 136: 136–142.","Hatching success higher in protected vs unprotected nests (exclosures), even taking into account incubation time, nest abandonment, hatchability and partial clutch loss",good,Sweden,,,"Ölmevalla, Båtafjorden, Fyrstrandsfjorden",pastoral,natural/semi-natural grassland,,,,12.1,57.4,2002,2004,3,pastures,,,,experimental,redshank,N,,,,,,,,,,,applied site scale,,,,,,,nest exclosures,survival,,,number of adults depredated per total number of incubating birds,,0.016129032,0.121621622,0.185974786,6.54,,,,individual,birds,medium (30-100),frequentist,univariate,Fisher's exact test,Y,negative,,,,higher adult depredation in protected redshank nests
5,29,primary,"Isaksson, D. et al. 2007. Managing predation on ground-nesting birds: The effectiveness of nest exclosures. - Biological Conservation 136: 136–142.","Hatching success higher in protected vs unprotected nests (exclosures), even taking into account incubation time, nest abandonment, hatchability and partial clutch loss",good,Sweden,,,"Ölmevalla, Båtafjorden, Fyrstrandsfjorden",pastoral,natural/semi-natural grassland,,,,12.1,57.4,2002,2004,3,pastures,,,,experimental,lapwing,N,,,,,,,,,,,applied site scale,,,,,,,nest exclosures,productivity (nest level),,,expected number of chicks hatching,,1.42,2.58,0.472604411,0.82,,,,individual,nests,large (100-1000),,,,Y,positive,,,,metric = clutch size x DSR^incubation time x partial clutch loss x hatchability x abandonment; no statistical test presented
6,29,primary,"Isaksson, D. et al. 2007. Managing predation on ground-nesting birds: The effectiveness of nest exclosures. - Biological Conservation 136: 136–142.","Hatching success higher in protected vs unprotected nests (exclosures), even taking into account incubation time, nest abandonment, hatchability and partial clutch loss",good,Sweden,,,"Ölmevalla, Båtafjorden, Fyrstrandsfjorden",pastoral,natural/semi-natural grassland,,,,12.1,57.4,2002,2004,3,pastures,,,,experimental,redshank,N,,,,,,,,,,,applied site scale,,,,,,,nest exclosures,productivity (nest level),,,expected number of chicks hatching,,1.56,3.61,0.690717046,1.31,,,,individual,nests,medium (30-100),,,,Y,positive,,,,metric = clutch size x DSR^incubation time x partial clutch loss x hatchability x abandonment; no statistical test presented
7,29,primary,"Isaksson, D. et al. 2007. Managing predation on ground-nesting birds: The effectiveness of nest exclosures. - Biological Conservation 136: 136–142.","Hatching success higher in protected vs unprotected nests (exclosures), even taking into account incubation time, nest abandonment, hatchability and partial clutch loss",good,Sweden,,,"Ölmevalla, Båtafjorden, Fyrstrandsfjorden",pastoral,natural/semi-natural grassland,,,,12.1,57.4,2002,2004,3,pastures,,,,experimental,lapwing,N,,,,,,,,,,,applied site scale,,,,,,,nest exclosures,productivity (nest level),nest survival (Mayfield),,nest survival,Mayfield,0.399,0.739,0.320776847,0.85,0.399,0.739,0.85,individual,nests,large (100-1000),frequentist,univariate,,U,positive,,,,DSR^incubation time (slightly longer incubation in protected nests); no specific statistical test presented for overall nest survival
8,29,primary,"Isaksson, D. et al. 2007. Managing predation on ground-nesting birds: The effectiveness of nest exclosures. - Biological Conservation 136: 136–142.","Hatching success higher in protected vs unprotected nests (exclosures), even taking into account incubation time, nest abandonment, hatchability and partial clutch loss",good,Sweden,,,"Ölmevalla, Båtafjorden, Fyrstrandsfjorden",pastoral,natural/semi-natural grassland,,,,12.1,57.4,2002,2004,3,pastures,,,,experimental,redshank,N,,,,,,,,,,,applied site scale,,,,,,,nest exclosures,productivity (nest level),nest survival (Mayfield),,nest survival,Mayfield,0.413,0.924,0.444489211,1.24,0.413,0.924,1.24,individual,nests,medium (30-100),frequentist,univariate,,U,positive,,,,DSR^incubation time (slightly longer incubation in protected nests); no specific statistical test presented for overall nest survival
1,30,primary,"Jackson, D. B. 2001. Experimental removal of introduced hedgehogs improves wader nest success in the Western Isles, Scotland. - Journal of Applied Ecology 38: 802–812.",Experimental fencing and removal of hedgehogs significantly reduced daily nest failure rate for ALL wader species but not individual species (lapwing and redshank/snipe pooled).,good,United Kingdom,Scotland,South Uist,Loch Bee and Drimore,pastoral,natural/semi-natural grassland,"lowland grassland, lowland wet grassland",,machair,7.0,57.0,1996,1998,2,study sites,small (0-10 kmsq),,,experimental,lapwing,Y,,,,,,,,,,,applied site scale,,,,applied site scale,,,hedgehog exclosures and removal from fenced area,productivity (nest level),nest survival (Mayfield),calculated using 28 days incubation + 5 days laying,daily survival rate,,0.9634,0.9817,0.012427582,0.02,0.29,0.54,0.86,individual,nests,small (< 30),frequentist,multivariate,logistic regression,N,positive,,,,"overall positive effect of fencing treatment on daily survival of ALL wader nests, but no significant species-specific effects; significance only calculated for daily survival rate, not overall percentage of nests hatching; metrics presented as daily failure rate in paper, I have converted to daily survival rates"
